,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
TPRKB1,7.36E-131,0.486745391,0.954,0.693,2.11E-126,3,TPRKB
SURF41,7.48E-131,0.437470273,0.882,0.503,2.14E-126,3,SURF4
YBX21,8.27E-131,0.515923098,0.991,0.753,2.37E-126,3,YBX2
CNOT111,1.03E-130,0.389730475,0.839,0.42,2.94E-126,3,CNOT11
SPSB2,1.26E-130,0.298891057,0.589,0.214,3.62E-126,3,SPSB2
GRPEL2,1.51E-130,0.26517056,0.583,0.198,4.32E-126,3,GRPEL2
NOL71,1.91E-130,0.468029811,0.966,0.722,5.47E-126,3,NOL7
DCTN51,2.07E-130,0.343633393,0.771,0.355,5.92E-126,3,DCTN5
LACTB1,2.37E-130,0.42809297,0.824,0.423,6.79E-126,3,LACTB
LCA5L2,2.88E-130,0.589726859,0.995,0.796,8.24E-126,3,LCA5L
C2orf761,2.91E-130,0.317953853,0.714,0.293,8.32E-126,3,C2orf76
ADRBK2,6.98E-130,0.357158209,0.743,0.348,2.00E-125,3,ADRBK2
TMED102,7.41E-130,0.400206422,0.935,0.475,2.12E-125,3,TMED10
DERL11,7.41E-130,0.428155316,0.917,0.582,2.12E-125,3,DERL1
DALRD3,9.36E-130,0.444706915,0.951,0.678,2.68E-125,3,DALRD3
NDUFC12,1.08E-129,0.505647128,0.989,0.743,3.08E-125,3,NDUFC1
GPN31,6.32E-129,0.431982482,0.947,0.631,1.81E-124,3,GPN3
ACBD61,7.29E-129,0.45174947,0.947,0.642,2.09E-124,3,ACBD6
TMEM571,8.09E-129,0.41606579,0.904,0.509,2.32E-124,3,TMEM57
31-Mar,1.90E-128,0.404672779,0.808,0.395,5.43E-124,3,3-Mar
EXOSC32,2.39E-128,0.464735291,0.897,0.532,6.86E-124,3,EXOSC3
MEPCE,3.17E-128,0.361130475,0.768,0.37,9.07E-124,3,MEPCE
CNTD11,3.22E-128,0.393860723,0.882,0.473,9.22E-124,3,CNTD1
TMA161,4.50E-128,0.458749842,0.928,0.646,1.29E-123,3,TMA16
C10orf25,5.68E-128,0.414633989,0.866,0.469,1.63E-123,3,C10orf25
PRKAA11,8.12E-128,0.44891019,0.963,0.666,2.33E-123,3,PRKAA1
ARL6,1.06E-127,0.311934668,0.695,0.288,3.03E-123,3,ARL6
ANAPC161,1.11E-127,0.479913842,0.967,0.704,3.17E-123,3,ANAPC16
KAT52,1.23E-127,0.404802755,0.793,0.35,3.53E-123,3,KAT5
MAEL2,1.49E-127,0.461043782,0.993,0.893,4.26E-123,3,MAEL
COX7C1,8.28E-127,0.393238361,0.996,0.921,2.37E-122,3,COX7C
ADAD21,1.07E-126,0.427286243,0.901,0.554,3.08E-122,3,ADAD2
CCDC652,1.40E-126,0.459688729,0.944,0.499,4.01E-122,3,CCDC65
PSMD72,5.66E-126,0.453434298,0.963,0.652,1.62E-121,3,PSMD7
IMPAD11,8.52E-126,0.354746492,0.789,0.385,2.44E-121,3,IMPAD1
RP4-816N1.6,8.54E-126,0.312630058,0.729,0.305,2.44E-121,3,RP4-816N1.6
RLN2,9.68E-126,0.341898125,0.638,0.258,2.77E-121,3,RLN2
C16orf872,1.65E-125,0.483892815,0.924,0.553,4.74E-121,3,C16orf87
DNAL42,1.85E-125,0.469775719,0.923,0.626,5.29E-121,3,DNAL4
CTC-428H11.2,2.35E-125,0.260574678,0.535,0.183,6.73E-121,3,CTC-428H11.2
CACYBP2,3.79E-125,0.510781462,0.962,0.689,1.08E-120,3,CACYBP
SSH2,5.94E-125,0.411737943,0.893,0.515,1.70E-120,3,SSH2
XRRA11,7.02E-125,0.400222128,0.856,0.472,2.01E-120,3,XRRA1
TBC1D121,1.09E-124,0.380969816,0.706,0.314,3.12E-120,3,TBC1D12
CTD-2506P8.61,1.51E-124,0.321686186,0.709,0.32,4.33E-120,3,CTD-2506P8.6
GTF3C61,1.94E-124,0.41423428,0.965,0.744,5.56E-120,3,GTF3C6
EP400NL1,3.57E-124,0.429978904,0.944,0.619,1.02E-119,3,EP400NL
ADAD12,4.76E-124,0.520802852,0.993,0.775,1.36E-119,3,ADAD1
CREG11,5.61E-124,0.384348578,0.775,0.367,1.61E-119,3,CREG1
PCDHB7,1.01E-123,0.313232949,0.642,0.261,2.88E-119,3,PCDHB7
MED26,1.11E-123,0.364338661,0.841,0.463,3.18E-119,3,MED26
DNAJC30,1.13E-123,0.416462656,0.885,0.539,3.23E-119,3,DNAJC30
MRPS251,1.96E-123,0.419870959,0.973,0.759,5.60E-119,3,MRPS25
FGFR1OP,2.33E-123,0.437751875,0.959,0.687,6.67E-119,3,FGFR1OP
UTP11L1,4.35E-123,0.415957712,0.847,0.472,1.24E-118,3,UTP11L
SDHA1,6.61E-123,0.426923368,0.912,0.577,1.89E-118,3,SDHA
C1orf61,6.73E-123,0.413411053,0.862,0.485,1.93E-118,3,C1orf61
RP11-535A19.2,9.10E-123,0.423489064,0.89,0.491,2.60E-118,3,RP11-535A19.2
NIFK1,1.03E-122,0.383789059,0.836,0.442,2.94E-118,3,NIFK
LINC00690,1.46E-122,0.354339522,0.776,0.384,4.17E-118,3,LINC00690
RP11-73E17.2,2.21E-122,0.414283787,0.931,0.543,6.32E-118,3,RP11-73E17.2
TEX261,3.20E-122,0.376845292,0.817,0.405,9.17E-118,3,TEX261
RTFDC11,3.29E-122,0.421245533,0.912,0.601,9.40E-118,3,RTFDC1
RP11-697B24.1,3.32E-122,0.343395532,0.702,0.303,9.50E-118,3,RP11-697B24.1
RALY-AS1,4.67E-122,0.3121432,0.695,0.306,1.34E-117,3,RALY-AS1
MORN1,6.05E-122,0.309756893,0.687,0.298,1.73E-117,3,MORN1
TPX22,6.52E-122,0.360887239,0.802,0.354,1.87E-117,3,TPX2
MOK1,1.04E-121,0.437833819,0.962,0.666,2.99E-117,3,MOK
PEX31,1.44E-121,0.329098371,0.747,0.313,4.13E-117,3,PEX3
RP11-81K13.1,2.34E-121,0.308373455,0.649,0.265,6.69E-117,3,RP11-81K13.1
SVIL-AS11,2.42E-121,0.36549201,0.791,0.396,6.94E-117,3,SVIL-AS1
AMZ21,5.08E-121,0.397878917,0.989,0.888,1.45E-116,3,AMZ2
BNIP1,9.85E-121,0.278509951,0.585,0.193,2.82E-116,3,BNIP1
BTBD11,1.04E-120,0.351284698,0.78,0.377,2.98E-116,3,BTBD1
HADHB1,1.19E-120,0.428538791,0.934,0.628,3.41E-116,3,HADHB
TMED7,1.21E-120,0.339195952,0.713,0.321,3.46E-116,3,TMED7
PLK4,3.26E-120,0.377126409,0.804,0.432,9.32E-116,3,PLK4
TM2D21,5.19E-120,0.387138254,0.883,0.515,1.48E-115,3,TM2D2
BVES-AS11,5.87E-120,0.331684097,0.748,0.336,1.68E-115,3,BVES-AS1
HSF51,8.91E-120,0.343100241,0.757,0.341,2.55E-115,3,HSF5
SRP681,1.19E-119,0.308067008,0.764,0.335,3.40E-115,3,SRP68
TDRD101,1.21E-119,0.379826722,0.882,0.498,3.48E-115,3,TDRD10
TTI21,1.62E-119,0.299587269,0.694,0.293,4.64E-115,3,TTI2
EIF3E1,1.77E-119,0.410789695,0.978,0.787,5.06E-115,3,EIF3E
CTD-3028N15.1,1.78E-119,0.335992924,0.714,0.333,5.08E-115,3,CTD-3028N15.1
MFF1,4.45E-119,0.3771064,0.992,0.942,1.27E-114,3,MFF
PRPF38A1,6.53E-119,0.373511553,0.904,0.562,1.87E-114,3,PRPF38A
CTD-2553L13.10,7.48E-119,0.257801652,0.572,0.206,2.14E-114,3,CTD-2553L13.10
MAF11,8.03E-119,0.435323128,0.942,0.622,2.30E-114,3,MAF1
PTRH2,1.37E-118,0.305891835,0.648,0.268,3.91E-114,3,PTRH2
TMEM55B1,1.39E-118,0.354631503,0.724,0.321,3.99E-114,3,TMEM55B
CYB5R2,1.75E-118,0.423920989,0.94,0.642,5.02E-114,3,CYB5R2
DNAL12,2.09E-118,0.470000239,0.985,0.638,6.00E-114,3,DNAL1
RPGRIP11,2.52E-118,0.421268654,0.877,0.481,7.21E-114,3,RPGRIP1
YY1AP11,4.48E-118,0.404307557,0.888,0.55,1.28E-113,3,YY1AP1
EIF62,4.91E-118,0.458795352,0.919,0.645,1.40E-113,3,EIF6
CNOT41,5.56E-118,0.400300665,0.863,0.48,1.59E-113,3,CNOT4
PTRHD11,6.60E-118,0.414024425,0.958,0.695,1.89E-113,3,PTRHD1
DEPDC1,6.96E-118,0.334823605,0.774,0.38,1.99E-113,3,DEPDC1
ELP4,7.92E-118,0.299207904,0.636,0.256,2.27E-113,3,ELP4
LYRM1,1.85E-117,0.403639403,0.954,0.706,5.28E-113,3,LYRM1
REEP52,1.86E-117,0.46634272,0.974,0.68,5.32E-113,3,REEP5
PPP1R71,2.09E-117,0.383403928,0.995,0.927,5.99E-113,3,PPP1R7
HSPBAP1,2.31E-117,0.303575252,0.679,0.292,6.61E-113,3,HSPBAP1
ADGB2,3.18E-117,0.448127893,0.951,0.518,9.10E-113,3,ADGB
DPH31,1.01E-116,0.38633224,0.916,0.603,2.88E-112,3,DPH3
RANBP12,1.13E-116,0.441486644,0.993,0.883,3.23E-112,3,RANBP1
DUSP19,2.05E-116,0.269532431,0.56,0.216,5.86E-112,3,DUSP19
RAD511,2.35E-116,0.312274448,0.74,0.303,6.74E-112,3,RAD51
TRIOBP1,2.43E-116,0.354895784,0.793,0.398,6.97E-112,3,TRIOBP
SYCE11,3.57E-116,0.318400621,0.947,0.664,1.02E-111,3,SYCE1
FAM126A1,3.70E-116,0.348552765,0.768,0.364,1.06E-111,3,FAM126A
CSRP21,4.82E-116,0.415686795,0.878,0.478,1.38E-111,3,CSRP2
C1orf101,6.47E-116,0.284533158,0.657,0.268,1.85E-111,3,C1orf101
NUDT2,6.70E-116,0.357800338,0.678,0.304,1.92E-111,3,NUDT2
COQ51,7.11E-116,0.366961478,0.843,0.466,2.04E-111,3,COQ5
DYNC2H11,8.93E-116,0.337864021,0.749,0.347,2.56E-111,3,DYNC2H1
ABHD2,1.14E-115,0.415742194,0.955,0.674,3.26E-111,3,ABHD2
SSSCA11,1.35E-115,0.407507168,0.927,0.631,3.88E-111,3,SSSCA1
PCDH171,1.84E-115,0.320684621,0.717,0.303,5.28E-111,3,PCDH17
PTAR11,1.85E-115,0.313258964,0.713,0.323,5.30E-111,3,PTAR1
ANKRD372,2.47E-115,0.308770453,0.782,0.344,7.06E-111,3,ANKRD37
TOLLIP,2.68E-115,0.389256758,0.966,0.755,7.69E-111,3,TOLLIP
TRMT1L2,3.49E-115,0.402683985,0.878,0.518,1.00E-110,3,TRMT1L
SCARB21,3.94E-115,0.256318077,0.645,0.241,1.13E-110,3,SCARB2
PHF71,6.02E-115,0.384880182,0.996,0.963,1.72E-110,3,PHF7
HTATIP21,6.84E-115,0.375561992,0.837,0.463,1.96E-110,3,HTATIP2
DNAAF32,8.47E-115,0.408508153,0.967,0.678,2.42E-110,3,DNAAF3
KLHDC31,1.19E-114,0.407946169,0.988,0.844,3.41E-110,3,KLHDC3
MYCNOS,1.20E-114,0.303302425,0.649,0.278,3.43E-110,3,MYCNOS
ARL31,1.57E-114,0.393605748,0.949,0.61,4.49E-110,3,ARL3
CCNB12,2.07E-114,0.397113443,0.927,0.556,5.94E-110,3,CCNB1
FAM195A,2.51E-114,0.421561439,0.943,0.674,7.20E-110,3,FAM195A
RP11-399E6.12,9.14E-114,0.493886812,0.936,0.581,2.62E-109,3,RP11-399E6.1
RP11-554D20.1,1.43E-113,0.267747577,0.591,0.234,4.11E-109,3,RP11-554D20.1
NFE2L21,1.89E-113,0.376786285,0.878,0.489,5.42E-109,3,NFE2L2
YIPF52,2.23E-113,0.348828039,0.789,0.378,6.37E-109,3,YIPF5
MOB1A1,2.39E-113,0.340582833,0.768,0.351,6.84E-109,3,MOB1A
DDX39A1,2.68E-113,0.387490954,0.982,0.808,7.68E-109,3,DDX39A
PAPOLB1,3.13E-113,0.333500267,0.797,0.397,8.97E-109,3,PAPOLB
NDUFA82,3.14E-113,0.440262343,0.986,0.793,8.99E-109,3,NDUFA8
EXOSC91,3.45E-113,0.404891639,0.94,0.651,9.88E-109,3,EXOSC9
MMP24-AS1,9.50E-113,0.382406592,0.911,0.589,2.72E-108,3,MMP24-AS1
AP006222.21,1.01E-112,0.321002517,0.68,0.307,2.89E-108,3,AP006222.2
TOMM71,1.29E-112,0.360446893,0.996,0.9,3.70E-108,3,TOMM7
UBC2,2.45E-112,0.371961216,0.996,0.992,7.01E-108,3,UBC
THOC31,2.57E-112,0.394158465,0.947,0.662,7.34E-108,3,THOC3
IL17D,2.74E-112,0.260130977,0.572,0.225,7.85E-108,3,IL17D
C17orf971,3.09E-112,0.424270191,0.981,0.734,8.85E-108,3,C17orf97
IQUB2,3.77E-112,0.436448502,0.94,0.585,1.08E-107,3,IQUB
JMJD4,4.30E-112,0.356604547,0.828,0.455,1.23E-107,3,JMJD4
UBE2V22,4.40E-112,0.416165584,0.924,0.596,1.26E-107,3,UBE2V2
CDCA21,4.57E-112,0.368187845,0.836,0.455,1.31E-107,3,CDCA2
FAS,4.72E-112,0.261680974,0.541,0.2,1.35E-107,3,FAS
RHOA2,4.88E-112,0.446483229,0.973,0.667,1.40E-107,3,RHOA
TFIP112,5.39E-112,0.364778118,0.84,0.454,1.54E-107,3,TFIP11
RBAKDN1,1.05E-111,0.331498113,0.694,0.321,2.99E-107,3,RBAKDN
GLRX51,1.42E-111,0.420496435,0.978,0.779,4.08E-107,3,GLRX5
DCAF51,2.02E-111,0.389659917,0.881,0.525,5.78E-107,3,DCAF5
THUMPD31,2.47E-111,0.413055428,0.955,0.728,7.08E-107,3,THUMPD3
FASTKD21,3.97E-111,0.310492924,0.695,0.315,1.14E-106,3,FASTKD2
CBX51,5.20E-111,0.401383334,0.924,0.606,1.49E-106,3,CBX5
FASTKD5,7.48E-111,0.280273611,0.625,0.255,2.14E-106,3,FASTKD5
SNTG1,1.02E-110,0.29137227,0.688,0.308,2.93E-106,3,SNTG1
ACTG12,2.36E-110,0.441139206,0.995,0.88,6.76E-106,3,ACTG1
NDUFC21,3.17E-110,0.394380522,0.981,0.793,9.07E-106,3,NDUFC2
SEC22C1,3.38E-110,0.373757199,0.869,0.503,9.68E-106,3,SEC22C
RPF21,4.91E-110,0.375322516,0.875,0.529,1.41E-105,3,RPF2
PIFO,5.43E-110,0.481613976,0.963,0.711,1.55E-105,3,PIFO
CNTRL1,6.50E-110,0.417913648,0.946,0.591,1.86E-105,3,CNTRL
C7orf73,6.61E-110,0.370073132,0.982,0.868,1.89E-105,3,C7orf73
KIF18A1,7.00E-110,0.324902021,0.741,0.35,2.00E-105,3,KIF18A
FAM72A,7.12E-110,0.260804262,0.537,0.2,2.04E-105,3,FAM72A
PIN1,1.03E-109,0.365503636,0.978,0.864,2.94E-105,3,PIN1
CEP83-AS1,1.07E-109,0.366858341,0.841,0.485,3.06E-105,3,CEP83-AS1
SPAG51,1.11E-109,0.387805094,0.858,0.49,3.19E-105,3,SPAG5
SCG5,1.14E-109,0.437442631,0.661,0.32,3.26E-105,3,SCG5
INA,1.14E-109,0.327054792,0.636,0.287,3.27E-105,3,INA
MICU21,2.53E-109,0.353339743,0.848,0.471,7.24E-105,3,MICU2
LINC002212,2.80E-109,0.409439731,0.92,0.547,8.02E-105,3,LINC00221
ZCCHC91,7.54E-109,0.342065918,0.799,0.417,2.16E-104,3,ZCCHC9
TESC-AS1,7.58E-109,0.273166617,0.654,0.283,2.17E-104,3,TESC-AS1
FBXO362,1.19E-108,0.359201997,0.824,0.42,3.41E-104,3,FBXO36
DNAJB21,1.49E-108,0.399759493,0.797,0.413,4.27E-104,3,DNAJB2
MEA11,1.74E-108,0.372875816,0.995,0.92,4.98E-104,3,MEA1
RP11-629B11.5,1.97E-108,0.256469111,0.512,0.172,5.65E-104,3,RP11-629B11.5
DDX44,2.89E-108,0.403914043,0.986,0.805,8.26E-104,3,DDX4
LAMTOR42,3.13E-108,0.394515304,0.928,0.57,8.97E-104,3,LAMTOR4
ATL11,3.60E-108,0.294716564,0.695,0.318,1.03E-103,3,ATL1
TBCC1,3.71E-108,0.331731687,0.766,0.386,1.06E-103,3,TBCC
WDR602,4.31E-108,0.471395545,0.974,0.713,1.23E-103,3,WDR60
FBXW9,5.67E-108,0.275654833,0.657,0.266,1.62E-103,3,FBXW9
ENO1,5.75E-108,0.359740424,0.984,0.89,1.65E-103,3,ENO1
OSCP12,6.30E-108,0.465030547,0.984,0.684,1.80E-103,3,OSCP1
NAA11,8.87E-108,0.290330213,0.66,0.298,2.54E-103,3,NAA11
AP2B11,9.38E-108,0.406115309,0.972,0.797,2.68E-103,3,AP2B1
GNAI31,9.77E-108,0.322893816,0.806,0.413,2.80E-103,3,GNAI3
C10orf1071,1.01E-107,0.381584495,0.862,0.534,2.89E-103,3,C10orf107
MRPL461,1.79E-107,0.382574416,0.846,0.519,5.12E-103,3,MRPL46
NTMT1,5.11E-107,0.379057362,0.98,0.813,1.46E-102,3,NTMT1
MRPS222,5.37E-107,0.396160786,0.935,0.565,1.54E-102,3,MRPS22
POLL,5.94E-107,0.291883882,0.714,0.335,1.70E-102,3,POLL
PAOX,6.41E-107,0.400070903,0.92,0.608,1.83E-102,3,PAOX
C12orf56,7.74E-107,0.314212552,0.757,0.363,2.22E-102,3,C12orf56
COASY2,8.23E-107,0.328974821,0.718,0.313,2.35E-102,3,COASY
PTTG1IP1,1.17E-106,0.389782975,0.871,0.539,3.34E-102,3,PTTG1IP
ALG81,1.32E-106,0.332967231,0.824,0.402,3.77E-102,3,ALG8
BUB31,1.34E-106,0.392735789,0.95,0.73,3.84E-102,3,BUB3
CHPT1,1.36E-106,0.34968329,0.992,0.876,3.91E-102,3,CHPT1
EMC41,2.07E-106,0.417499497,0.936,0.657,5.94E-102,3,EMC4
EAPP1,2.12E-106,0.344291297,0.839,0.431,6.06E-102,3,EAPP
OVCH1-AS1,2.26E-106,0.276293953,0.718,0.327,6.47E-102,3,OVCH1-AS1
EWSR12,3.81E-106,0.414030867,0.97,0.667,1.09E-101,3,EWSR1
NDC801,4.07E-106,0.313193094,0.732,0.361,1.17E-101,3,NDC80
RP11-11N7.4,4.59E-106,0.253974304,0.591,0.241,1.31E-101,3,RP11-11N7.4
UTP23,6.48E-106,0.276462443,0.6,0.244,1.86E-101,3,UTP23
DRC7,6.80E-106,0.360737183,0.852,0.499,1.95E-101,3,DRC7
NPM12,7.39E-106,0.410934493,0.991,0.79,2.12E-101,3,NPM1
C17orf642,1.28E-105,0.467259765,0.995,0.74,3.68E-101,3,C17orf64
HMCES2,1.46E-105,0.270946818,0.793,0.359,4.17E-101,3,HMCES
MLH11,2.40E-105,0.340149033,0.772,0.414,6.86E-101,3,MLH1
CCNE1,2.52E-105,0.253906364,0.64,0.265,7.20E-101,3,CCNE1
HERPUD11,4.04E-105,0.332662611,0.771,0.393,1.16E-100,3,HERPUD1
POMT11,4.18E-105,0.327161985,0.76,0.389,1.20E-100,3,POMT1
DZIP1,4.98E-105,0.406176028,0.972,0.704,1.43E-100,3,DZIP1
EZH21,5.10E-105,0.379649164,0.901,0.565,1.46E-100,3,EZH2
C2orf27B,7.43E-105,0.292463498,0.523,0.187,2.13E-100,3,C2orf27B
PHKG21,1.17E-104,0.365141928,0.977,0.782,3.35E-100,3,PHKG2
ZC3HC1,1.19E-104,0.273436363,0.61,0.231,3.39E-100,3,ZC3HC1
RPS131,2.01E-104,0.273217861,0.997,0.976,5.74E-100,3,RPS13
ANAPC72,2.57E-104,0.310450292,0.725,0.32,7.35E-100,3,ANAPC7
RP11-253M7.12,4.17E-104,0.345335977,0.696,0.337,1.19E-99,3,RP11-253M7.1
GALNT15,6.83E-104,0.279657971,0.606,0.249,1.96E-99,3,GALNT15
HIF1AN,8.00E-104,0.281104638,0.724,0.333,2.29E-99,3,HIF1AN
KB-1410C5.2,1.11E-103,0.324729389,0.717,0.346,3.18E-99,3,KB-1410C5.2
MVK1,1.14E-103,0.358270081,0.715,0.35,3.27E-99,3,MVK
ARFGAP1,1.41E-103,0.259851339,0.575,0.228,4.04E-99,3,ARFGAP1
DTL1,1.59E-103,0.29843986,0.696,0.327,4.56E-99,3,DTL
PIP5K1B2,1.97E-103,0.330917075,0.809,0.396,5.63E-99,3,PIP5K1B
WDR782,2.00E-103,0.392288936,0.897,0.459,5.73E-99,3,WDR78
SARS1,2.36E-103,0.328258481,0.786,0.401,6.76E-99,3,SARS
NUF22,2.56E-103,0.40737474,0.766,0.364,7.32E-99,3,NUF2
DYNC1LI21,2.62E-103,0.401074172,0.883,0.563,7.51E-99,3,DYNC1LI2
PSMD141,2.89E-103,0.379037704,0.951,0.647,8.27E-99,3,PSMD14
DPP10-AS1,4.11E-103,0.367619525,0.888,0.549,1.18E-98,3,DPP10-AS1
SLC22A161,4.44E-103,0.3148853,0.714,0.32,1.27E-98,3,SLC22A16
UBAP11,6.07E-103,0.368555911,0.852,0.514,1.74E-98,3,UBAP1
AC113617.1,6.63E-103,0.268889597,0.416,0.126,1.90E-98,3,AC113617.1
RP11-244N9.6,8.06E-103,0.385594846,0.588,0.249,2.31E-98,3,RP11-244N9.6
ZNF143,1.14E-102,0.289765764,0.678,0.316,3.27E-98,3,ZNF143
YIPF41,1.44E-102,0.30286773,0.824,0.43,4.13E-98,3,YIPF4
CCDC592,1.71E-102,0.411650126,0.966,0.678,4.89E-98,3,CCDC59
MED192,2.11E-102,0.358640156,0.892,0.472,6.04E-98,3,MED19
KTN12,3.33E-102,0.392339642,0.991,0.89,9.54E-98,3,KTN1
UBE2S1,3.64E-102,0.405110666,0.986,0.787,1.04E-97,3,UBE2S
IDI12,5.79E-102,0.42032323,0.925,0.62,1.66E-97,3,IDI1
CFAP201,7.26E-102,0.378608591,0.942,0.655,2.08E-97,3,CFAP20
SAP182,8.95E-102,0.388750226,0.995,0.902,2.56E-97,3,SAP18
OPA3,3.52E-101,0.265890663,0.642,0.286,1.01E-96,3,OPA3
DCTN21,3.60E-101,0.368155875,0.923,0.632,1.03E-96,3,DCTN2
MRPL541,4.96E-101,0.383145841,0.912,0.615,1.42E-96,3,MRPL54
ZWILCH2,5.94E-101,0.36883348,0.909,0.564,1.70E-96,3,ZWILCH
ZNF385D,8.31E-101,0.382429475,0.9,0.527,2.38E-96,3,ZNF385D
DUS1L,9.94E-101,0.357037644,0.829,0.482,2.84E-96,3,DUS1L
MRPS361,1.02E-100,0.362897632,0.9,0.567,2.92E-96,3,MRPS36
C2orf61,1.03E-100,0.281677332,0.699,0.333,2.96E-96,3,C2orf61
MMADHC2,1.11E-100,0.398647815,0.959,0.691,3.17E-96,3,MMADHC
PRRC2C2,1.34E-100,0.409708397,0.961,0.643,3.84E-96,3,PRRC2C
ZNF4731,1.62E-100,0.341704362,0.846,0.483,4.64E-96,3,ZNF473
LIPT11,1.87E-100,0.306746057,0.74,0.375,5.34E-96,3,LIPT1
CEP191,1.91E-100,0.359794572,0.851,0.485,5.48E-96,3,CEP19
RRAGA2,3.17E-100,0.352147386,0.882,0.504,9.09E-96,3,RRAGA
RP11-1006G14.2,3.18E-100,0.297168654,0.663,0.298,9.11E-96,3,RP11-1006G14.2
CENPF1,3.23E-100,0.387783554,0.89,0.521,9.25E-96,3,CENPF
CCDC391,4.86E-100,0.381910601,0.774,0.421,1.39E-95,3,CCDC39
NUP50-AS1,5.11E-100,0.267742777,0.561,0.23,1.46E-95,3,NUP50-AS1
CCDC87,6.92E-100,0.271508638,0.611,0.272,1.98E-95,3,CCDC87
IQCG,8.81E-100,0.370970638,0.94,0.688,2.52E-95,3,IQCG
TTC262,9.33E-100,0.331267896,0.721,0.359,2.67E-95,3,TTC26
PPP6C1,1.04E-99,0.369232761,0.921,0.624,2.99E-95,3,PPP6C
LINC006622,1.78E-99,0.46212251,0.908,0.577,5.11E-95,3,LINC00662
GEMIN62,2.30E-99,0.388581146,0.928,0.533,6.59E-95,3,GEMIN6
NTPCR1,2.56E-99,0.346479031,0.836,0.48,7.32E-95,3,NTPCR
LYL12,2.65E-99,0.397083039,0.959,0.615,7.60E-95,3,LYL1
SF3A31,3.51E-99,0.33390155,0.89,0.531,1.00E-94,3,SF3A3
PHOSPHO22,5.76E-99,0.407136027,0.875,0.519,1.65E-94,3,PHOSPHO2
AC007966.12,6.62E-99,0.352353889,0.721,0.328,1.90E-94,3,AC007966.1
DLGAP51,7.55E-99,0.310702826,0.687,0.324,2.16E-94,3,DLGAP5
CCDC1812,9.66E-99,0.424194396,0.95,0.689,2.77E-94,3,CCDC181
DRC31,9.80E-99,0.322132243,0.751,0.399,2.80E-94,3,DRC3
C8orf48,1.23E-98,0.304918508,0.665,0.323,3.53E-94,3,C8orf48
WDR482,1.51E-98,0.383839927,0.883,0.559,4.33E-94,3,WDR48
FAM114A21,1.54E-98,0.313944919,0.822,0.437,4.40E-94,3,FAM114A2
NME71,4.94E-98,0.306676143,0.799,0.419,1.41E-93,3,NME7
EIF3J1,5.29E-98,0.357448536,0.95,0.711,1.51E-93,3,EIF3J
GPR1081,6.23E-98,0.3121373,0.753,0.383,1.78E-93,3,GPR108
TAF101,6.45E-98,0.369066543,0.981,0.781,1.85E-93,3,TAF10
MRPS302,6.66E-98,0.352802782,0.848,0.48,1.91E-93,3,MRPS30
MUM12,7.63E-98,0.385697734,0.897,0.613,2.18E-93,3,MUM1
NSUN7,8.66E-98,0.295000936,0.698,0.345,2.48E-93,3,NSUN7
SMIM2-AS1,9.18E-98,0.270128375,0.696,0.325,2.63E-93,3,SMIM2-AS1
AC079922.3,1.15E-97,0.295126865,0.703,0.351,3.30E-93,3,AC079922.3
GPX41,1.89E-97,0.285252263,0.997,0.993,5.40E-93,3,GPX4
LRRC62,2.56E-97,0.380629919,0.905,0.502,7.33E-93,3,LRRC6
FBXW51,4.27E-97,0.334894286,0.988,0.896,1.22E-92,3,FBXW5
SHMT11,5.51E-97,0.299616951,0.672,0.306,1.58E-92,3,SHMT1
AC079354.5,6.43E-97,0.260812571,0.55,0.228,1.84E-92,3,AC079354.5
TPGS2,7.25E-97,0.327591269,0.991,0.914,2.07E-92,3,TPGS2
ZC3H3,8.02E-97,0.250722601,0.649,0.277,2.30E-92,3,ZC3H3
MTA11,9.01E-97,0.334278291,0.814,0.45,2.58E-92,3,MTA1
SMG9,1.03E-96,0.340582316,0.877,0.573,2.94E-92,3,SMG9
SNRPB22,1.18E-96,0.412045299,0.959,0.675,3.38E-92,3,SNRPB2
BBS122,2.28E-96,0.316583825,0.724,0.347,6.54E-92,3,BBS12
KIF5B1,4.45E-96,0.358206116,0.977,0.725,1.27E-91,3,KIF5B
ORMDL21,4.48E-96,0.389515019,0.924,0.656,1.28E-91,3,ORMDL2
KIF2A1,5.69E-96,0.358663746,0.907,0.586,1.63E-91,3,KIF2A
NCAPH2,6.97E-96,0.253383229,0.696,0.287,2.00E-91,3,NCAPH
POLR2H2,9.83E-96,0.312191873,0.877,0.474,2.81E-91,3,POLR2H
YARS,1.19E-95,0.281584104,0.665,0.305,3.40E-91,3,YARS
INTS7,1.33E-95,0.27255532,0.687,0.338,3.81E-91,3,INTS7
AC009473.1,2.73E-95,0.297774837,0.726,0.357,7.83E-91,3,AC009473.1
MCM41,2.76E-95,0.34183869,0.888,0.567,7.89E-91,3,MCM4
CEBPZ2,4.17E-95,0.397990611,0.951,0.667,1.19E-90,3,CEBPZ
NKIRAS11,7.21E-95,0.30023742,0.817,0.43,2.06E-90,3,NKIRAS1
STAMBPL11,7.63E-95,0.325003308,0.774,0.401,2.18E-90,3,STAMBPL1
GGPS11,7.85E-95,0.36530002,0.973,0.774,2.25E-90,3,GGPS1
ARPC5L,1.81E-94,0.320713131,0.989,0.892,5.18E-90,3,ARPC5L
