,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
CDHR2,0,1.069788295,0.852,0.248,0,1,CDHR2
TSPAN1,0,1.069666743,0.819,0.231,0,1,TSPAN1
CCDC70,0,1.06726808,0.974,0.64,0,1,CCDC70
RP11-630C16.1,0,1.046197523,0.818,0.276,0,1,RP11-630C16.1
LRRD1,0,1.042240346,0.828,0.257,0,1,LRRD1
STK35,0,1.038212914,0.887,0.481,0,1,STK35
EIF4H,0,1.037581723,0.976,0.736,0,1,EIF4H
ODF3B,0,1.028986213,0.839,0.286,0,1,ODF3B
AC009487.4,0,1.005140296,0.818,0.276,0,1,AC009487.4
UBE2N,0,0.990638849,0.999,0.965,0,1,UBE2N
UBQLNL,0,0.979705649,0.788,0.251,0,1,UBQLNL
C11orf42,0,0.978628897,0.792,0.222,0,1,C11orf42
GPX4,0,0.966544326,1,0.992,0,1,GPX4
RP11-496I9.1,0,0.950897838,0.789,0.275,0,1,RP11-496I9.1
RP11-219E7.2,0,0.91300008,0.764,0.232,0,1,RP11-219E7.2
TCP11,0,0.897169123,0.999,0.894,0,1,TCP11
RP5-956O18.2,0,0.892626816,0.762,0.227,0,1,RP5-956O18.2
AC007557.4,0,0.876530765,0.718,0.191,0,1,AC007557.4
UBA52,0,0.724062002,0.999,0.999,0,1,UBA52
SPATA6,7.45E-307,0.972947617,0.986,0.79,2.13E-302,1,SPATA6
BAG1,9.53E-307,1.017418349,0.975,0.824,2.73E-302,1,BAG1
ACSBG2,1.51E-306,1.089737176,0.942,0.534,4.31E-302,1,ACSBG2
FAM46C,2.26E-304,1.20522571,0.93,0.564,6.48E-300,1,FAM46C
RP5-1051H14.2,3.04E-304,1.225870675,0.802,0.296,8.70E-300,1,RP5-1051H14.2
MSTO1,4.62E-304,1.008037244,0.888,0.517,1.32E-299,1,MSTO1
RP4-584D14.6,8.61E-300,1.100918039,0.765,0.254,2.46E-295,1,RP4-584D14.6
TMEM31,9.37E-300,1.26520607,0.86,0.426,2.68E-295,1,TMEM31
ETNK2,1.53E-299,1.016917137,0.919,0.494,4.37E-295,1,ETNK2
C11orf71,3.67E-294,0.967518699,0.976,0.737,1.05E-289,1,C11orf71
UBE2J1,4.54E-294,1.18262631,0.893,0.488,1.30E-289,1,UBE2J1
MLF1,2.23E-291,0.670731662,1,0.98,6.38E-287,1,MLF1
DNAJC5B,2.03E-290,1.029684324,0.951,0.613,5.81E-286,1,DNAJC5B
PPP2R2B,2.50E-290,0.840922491,0.77,0.241,7.17E-286,1,PPP2R2B
RP11-304L19.4,3.42E-289,0.736062007,0.616,0.14,9.79E-285,1,RP11-304L19.4
TMEM53,9.80E-289,1.030648619,0.879,0.568,2.81E-284,1,TMEM53
LINC00467,2.76E-288,0.819137374,0.999,0.975,7.90E-284,1,LINC00467
CABS1,1.60E-286,1.208000608,0.975,0.594,4.58E-282,1,CABS1
RP11-168L7.3,2.21E-285,1.095212268,0.784,0.295,6.31E-281,1,RP11-168L7.3
CAPZA3,4.81E-284,1.200127807,0.953,0.738,1.38E-279,1,CAPZA3
BZW1,5.77E-282,0.944595209,0.977,0.901,1.65E-277,1,BZW1
GLRX2,1.41E-281,0.958581126,0.96,0.563,4.02E-277,1,GLRX2
TNP2,1.52E-278,1.484774901,0.764,0.293,4.34E-274,1,TNP2
MAPT-AS1,4.42E-275,0.634108386,0.586,0.134,1.27E-270,1,MAPT-AS1
TMCO5A,2.61E-274,0.981836177,0.975,0.633,7.47E-270,1,TMCO5A
RP11-195F19.5,2.89E-274,0.822285711,0.999,0.87,8.27E-270,1,RP11-195F19.5
CXorf65,2.08E-271,1.107706879,0.81,0.341,5.95E-267,1,CXorf65
DGCR6,2.56E-270,0.826032816,0.698,0.22,7.33E-266,1,DGCR6
OSBPL10,7.79E-268,0.857640153,0.84,0.357,2.23E-263,1,OSBPL10
CCDC169,2.95E-265,0.764229385,0.986,0.781,8.44E-261,1,CCDC169
PHF2,2.40E-264,0.753127921,0.694,0.208,6.86E-260,1,PHF2
CAPZB,5.15E-264,0.736324396,0.977,0.898,1.47E-259,1,CAPZB
TRIM36,6.90E-263,0.871380273,0.997,0.822,1.97E-258,1,TRIM36
LPP,3.90E-261,0.898507779,0.906,0.489,1.12E-256,1,LPP
FAM166A,8.24E-261,0.890082694,0.927,0.468,2.36E-256,1,FAM166A
GTF3C2-AS1,6.12E-259,0.826591037,0.83,0.314,1.75E-254,1,GTF3C2-AS1
IQCF1,6.99E-259,1.204645397,0.921,0.622,2.00E-254,1,IQCF1
SPATA19,1.00E-258,0.998241089,0.916,0.556,2.88E-254,1,SPATA19
CCDC188,7.97E-257,0.836698769,0.846,0.358,2.28E-252,1,CCDC188
HMOX2,5.98E-256,0.773115379,0.962,0.893,1.71E-251,1,HMOX2
IQCF5,1.08E-253,0.961612949,0.938,0.62,3.10E-249,1,IQCF5
SPATA3-AS1,2.07E-250,0.879434563,0.891,0.429,5.93E-246,1,SPATA3-AS1
LRTOMT,8.78E-250,0.90167212,0.945,0.787,2.51E-245,1,LRTOMT
FAM71F2,1.01E-248,0.791234354,0.682,0.226,2.90E-244,1,FAM71F2
FLJ27354,1.35E-247,0.958969434,0.77,0.343,3.87E-243,1,FLJ27354
DKFZP434K028,7.96E-247,0.657516862,0.649,0.189,2.28E-242,1,DKFZP434K028
KIF2C,1.86E-246,0.855534139,0.916,0.684,5.31E-242,1,KIF2C
RP11-100N20.1,1.94E-246,0.601549295,0.536,0.116,5.55E-242,1,RP11-100N20.1
OXCT2,1.61E-243,0.766633513,0.791,0.269,4.60E-239,1,OXCT2
AC007325.4,1.15E-241,0.801083074,0.721,0.261,3.30E-237,1,AC007325.4
RP11-400L8.2,6.94E-239,0.657775195,0.607,0.175,1.99E-234,1,RP11-400L8.2
SPANXB1,2.55E-238,1.0415381,0.845,0.456,7.31E-234,1,SPANXB1
GUCA1A,3.46E-238,0.737021875,0.674,0.223,9.92E-234,1,GUCA1A
TP53I11,1.04E-237,0.67151226,0.588,0.153,2.98E-233,1,TP53I11
FAM71C,1.53E-237,0.749467811,0.707,0.218,4.37E-233,1,FAM71C
RP11-73G16.3,1.84E-236,0.893774794,0.795,0.365,5.26E-232,1,RP11-73G16.3
OTUB2,2.91E-236,0.812468368,0.855,0.379,8.32E-232,1,OTUB2
SAMD4A,1.09E-234,0.865232684,0.958,0.602,3.12E-230,1,SAMD4A
